
[2026-04-14T01:22:08.4348772+08:00] ===== Sts2MapMod session start =====
[2026-04-14T01:22:08.4352336+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=1 chipSize=(60, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.4360376+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=2 chipSize=(60, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.4367203+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=3 chipSize=(60, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.4376128+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=4 chipSize=(60, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.4383388+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=5 chipSize=(60, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.4390787+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=0 chipSize=(61, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.4398794+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=1 chipSize=(60, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.4407225+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=2 chipSize=(60, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.4414292+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=3 chipSize=(60, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.4422019+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=4 chipSize=(60, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
[2026-04-14T01:22:08.4430477+08:00] [INFO] RouteAnalysisPanel.ChipLayout: RefreshRouteRowHeights chip=5 chipSize=(60, 38) chipMin=(58, 36) iconPos=(4, 0) iconSize=(30, 30) iconMin=(30, 30) labelPos=(36, 5) labelSize=(8, 20)
